Year,Cause Name,Deaths,Age-adjusted Death Rate
1999,Alzheimer's disease,2833,18.5
1999,CLRD,7518,46.8
1999,Cancer,32755,196.1
1999,Diabetes,4931,29.9
1999,Heart disease,43418,270.1
1999,Influenza and pneumonia,3534,22.4
1999,Kidney disease,1669,10.3
1999,Stroke,10414,65.9
1999,Suicide,2005,10.2
1999,Unintentional injuries,7227,37.6
2000,Alzheimer's disease,3184,20.5
2000,CLRD,7286,44.7
2000,Cancer,33300,196.3
2000,Diabetes,5196,31.1
2000,Heart disease,43020,263.5
2000,Influenza and pneumonia,3706,23.1
2000,Kidney disease,1870,11.4
2000,Stroke,10684,66.5
2000,Suicide,2053,10.2
2000,Unintentional injuries,7407,37.6
2001,Alzheimer's disease,3439,21.9
2001,CLRD,7739,46.7
2001,Cancer,33488,192.6
2001,Diabetes,5456,31.9
2001,Heart disease,43199,259.1
2001,Influenza and pneumonia,3608,22.2
2001,Kidney disease,2269,13.6
2001,Stroke,10612,65.0
2001,Suicide,2225,10.9
2001,Unintentional injuries,7920,39.7
2002,Alzheimer's disease,3793,23.9
2002,CLRD,7720,45.7
2002,Cancer,34164,192.2
2002,Diabetes,5654,32.3
2002,Heart disease,43452,256.3
2002,Influenza and pneumonia,3673,22.3
2002,Kidney disease,2166,12.7
2002,Stroke,10548,63.6
2002,Suicide,2311,11.1
2002,Unintentional injuries,8232,40.4
2003,Alzheimer's disease,4015,24.9
2003,CLRD,7567,43.8
2003,Cancer,33867,186.1
2003,Diabetes,5668,31.6
2003,Heart disease,41779,241.2
2003,Influenza and pneumonia,3613,21.4
2003,Kidney disease,2678,15.4
2003,Stroke,10303,60.8
2003,Suicide,2363,11.1
2003,Unintentional injuries,8425,40.8
2004,Alzheimer's disease,4336,26.4
2004,CLRD,7402,41.9
2004,Cancer,33937,182.1
2004,Diabetes,5435,29.7
2004,Heart disease,40196,226.9
2004,Influenza and pneumonia,3209,18.6
2004,Kidney disease,2561,14.4
2004,Stroke,9853,56.9
2004,Suicide,2300,10.7
2004,Unintentional injuries,8323,39.7
2005,Alzheimer's disease,4629,27.4
2005,CLRD,7988,44.1
2005,Cancer,34291,178.9
2005,Diabetes,5605,29.7
2005,Heart disease,40152,220.4
2005,Influenza and pneumonia,3654,20.5
2005,Kidney disease,2729,14.9
2005,Stroke,9366,52.4
2005,Suicide,2418,10.9
2005,Unintentional injuries,8598,40.4
2006,Alzheimer's disease,4887,27.9
2006,CLRD,7639,40.8
2006,Cancer,34939,176.1
2006,Diabetes,5201,26.5
2006,Heart disease,38782,205.2
2006,Influenza and pneumonia,3342,18.2
2006,Kidney disease,2995,15.8
2006,Stroke,9366,50.4
2006,Suicide,2347,10.3
2006,Unintentional injuries,9140,41.6
2007,Alzheimer's disease,4814,26.8
2007,CLRD,8107,42.2
2007,Cancer,35074,171.9
2007,Diabetes,5109,25.3
2007,Heart disease,38912,200.1
2007,Influenza and pneumonia,3230,17.0
2007,Kidney disease,3291,17.0
2007,Stroke,9796,51.5
2007,Suicide,2433,10.5
2007,Unintentional injuries,9392,42.0
2008,Alzheimer's disease,5280,28.6
2008,CLRD,8874,45.1
2008,Cancer,35713,169.9
2008,Diabetes,5155,24.9
2008,Heart disease,38384,191.7
2008,Influenza and pneumonia,3554,18.2
2008,Kidney disease,3536,17.7
2008,Stroke,9629,49.2
2008,Suicide,2552,10.8
2008,Unintentional injuries,9189,40.4
2009,Alzheimer's disease,5064,26.6
2009,CLRD,8649,42.6
2009,Cancer,35591,164.4
2009,Diabetes,4873,22.8
2009,Heart disease,38077,184.1
2009,Influenza and pneumonia,3387,16.5
2009,Kidney disease,3694,17.9
2009,Stroke,9137,45.2
2009,Suicide,2809,11.6
2009,Unintentional injuries,9349,40.2
2010,Alzheimer's disease,5209,26.8
2010,CLRD,8921,43.0
2010,Cancer,36717,165.9
2010,Diabetes,4744,21.6
2010,Heart disease,38253,181.1
2010,Influenza and pneumonia,3022,14.6
2010,Kidney disease,3878,18.4
2010,Stroke,9180,44.4
2010,Suicide,2891,11.8
2010,Unintentional injuries,9212,39.0
2011,Alzheimer's disease,5415,26.6
2011,CLRD,9097,42.3
2011,Cancer,37351,162.3
2011,Diabetes,5091,22.4
2011,Heart disease,38094,172.5
2011,Influenza and pneumonia,3055,14.2
2011,Kidney disease,3397,15.4
2011,Stroke,9065,41.9
2011,Suicide,2896,11.5
2011,Unintentional injuries,9410,38.7
2012,Alzheimer's disease,5175,24.6
2012,CLRD,9524,42.7
2012,Cancer,38142,160.3
2012,Diabetes,5136,21.9
2012,Heart disease,39061,171.3
2012,Influenza and pneumonia,2974,13.4
2012,Kidney disease,3525,15.6
2012,Stroke,9305,41.8
2012,Suicide,3037,11.9
2012,Unintentional injuries,9313,37.4
2013,Alzheimer's disease,5293,24.3
2013,CLRD,9800,42.4
2013,Cancer,38412,156.9
2013,Diabetes,5273,21.6
2013,Heart disease,40203,170.7
2013,Influenza and pneumonia,3339,14.4
2013,Kidney disease,3722,15.9
2013,Stroke,9283,40.2
2013,Suicide,3059,11.7
2013,Unintentional injuries,9395,37.0
2014,Alzheimer's disease,6772,30.0
2014,CLRD,9668,40.5
2014,Cancer,38847,152.9
2014,Diabetes,5348,21.3
2014,Heart disease,41479,169.9
2014,Influenza and pneumonia,3452,14.2
2014,Kidney disease,4008,16.5
2014,Stroke,9898,41.6
2014,Suicide,3254,12.2
2014,Unintentional injuries,9723,37.3
2015,Alzheimer's disease,8903,38.2
2015,CLRD,10231,41.3
2015,Cancer,39121,149.2
